relative_path,classID,Class
Whimper/L6TCRy-UHQ8_12.wav,24,Whimper
Speech/NRiaznQevTA_150.wav,21,Speech
Whoop/BPtHcX-Bezw_120.wav,27,Whoop
Whimper/1vZNNVA7AMU_20.wav,24,Whimper
Whimper/4H52d8aXYSo_30.wav,24,Whimper
"Male speech, man speaking/-KDrCI8fV-0_30.wav",15,"Male speech, man speaking"
Rustle/9dam7lVuLGs_16.wav,16,Rustle
Rustle/-RXo9ToRMv4_150.wav,16,Rustle
Conversation/3ERIZLaHRvo_30.wav,7,Conversation
Snicker/NmLqe8JNAdc_30.wav,20,Snicker
White noise/O0DqVRc48aw_310.wav,26,White noise
Snicker/NgfE35rauDM_170.wav,20,Snicker
Rustle/Am6ChEPO494_30.wav,16,Rustle
White noise/7q5bvBfqKhQ_310.wav,26,White noise
Whimper/NgwOPYaC-Mw_16.wav,24,Whimper
"Dishes, pots, and pans/3HsyrnXM52I_370.wav",9,"Dishes, pots, and pans"
Conversation/2uAI6AWMRNA_30.wav,7,Conversation
White noise/0Xb_cfN-7-A_30.wav,26,White noise
Whimper/8MCVpXv4eOQ_30.wav,24,Whimper
Singing/-BSoZcBq_Ns_30.wav,18,Singing
Speech/CBLitnkFpXA_30.wav,21,Speech
White noise/Fzrg2xrOsSw_30.wav,26,White noise
"Smash, crash/1_3Y9d-EvIY_30.wav",19,"Smash, crash"
Breathing/FRLs-e8hoRw_0.wav,4,Breathing
Groan/HQpgkH2xGPg_20.wav,14,Groan
"Smash, crash/LWEPj69H4bE_230.wav",19,"Smash, crash"
Speech/--RuMpNXawk_320.wav,21,Speech
Cupboard open or close/7SmQKUVxX_w_0.wav,8,Cupboard open or close
Yell/41izgiyD5uE_80.wav,28,Yell
Snicker/GhP4Vy8Gqgs_20.wav,20,Snicker
"Female speech, woman speaking/6OKuYvcIbjQ_30.wav",12,"Female speech, woman speaking"
Singing/-7B83kN8k-0_30.wav,18,Singing
"Male speech, man speaking/0wNqdsRdTmk_30.wav",15,"Male speech, man speaking"
Whoop/AuYMtZEIQBA_10.wav,27,Whoop
Children shouting/9TyKnaTwgqw_10.wav,5,Children shouting
Whimper/6qs6G7YC1kQ_30.wav,24,Whimper
Breathing/OvbimTmN5b4_10.wav,4,Breathing
